,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
479,San Policarpo,PH,79.74,overcast clouds,12.1791,125.5072,JM Lodge
493,Sao Joao Da Barra,BR,75.13,overcast clouds,-21.6403,-41.0511,Pousada Porto De Canoas
494,Sinnamary,GF,77.43,overcast clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
499,Kribi,CM,80.8,overcast clouds,2.95,9.9167,Les Vagues bleues
507,Cap Malheureux,MU,75.99,clear sky,-19.9842,57.6142,Pereybere Hotel & Spa
511,Nhulunbuy,AU,86.0,broken clouds,-12.2333,136.7667,East Arnhem Real Estate
513,Labuhan,ID,80.46,broken clouds,-6.8844,112.2051,PT PPI Lamongan Tambak C
517,Kolondieba,ML,78.76,clear sky,11.0882,-6.8926,Hotel Dakan
521,Santa Cruz,BO,78.8,clear sky,-17.8,-63.1667,Aviador Hotel Boutique
524,Salinopolis,BR,77.58,overcast clouds,-0.6136,-47.3561,Salinas Park Resort Maçarico AP101
528,Belmonte,BR,77.0,clear sky,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
545,Yaring,TH,75.2,scattered clouds,6.8662,101.3689,สถานที่จัดงานแต่ง SOFEE & DORN
549,Sorong,ID,84.0,clear sky,-0.8833,131.25,The Waigo Hotel
551,Trincomalee,LK,81.27,overcast clouds,8.5711,81.2335,Welcombe Hotel
553,Vavoua,CI,76.6,overcast clouds,7.3819,-6.4778,Hotel Le Peuple
555,Marawi,PH,75.99,light rain,7.9986,124.2928,Derogongan Residence
556,Vila Velha,BR,75.2,heavy intensity rain,-20.3297,-40.2925,Quality Suites Vila Velha
558,Nosy Varika,MG,75.27,light rain,-20.5833,48.5333,Hotel Volazara
567,Nisia Floresta,BR,80.6,scattered clouds,-6.0911,-35.2086,Rancho Crepusculo
569,Lahad Datu,MY,79.14,light rain,5.0268,118.327,The 27th House
572,Kota Kinabalu,MY,80.6,few clouds,5.9749,116.0724,Gaya Centre Hotel
573,Isangel,VU,86.0,scattered clouds,-19.55,169.2667,Volcano Sea View Tree House
575,Maningrida,AU,85.19,broken clouds,-12.0667,134.2667,Dhukurrdji Lodge
576,Honiara,SB,84.94,overcast clouds,-9.4333,159.95,Heritage Park Hotel
578,Kualakapuas,ID,78.8,overcast clouds,-3.0091,114.3876,Guest House Izonk
579,Teluknaga,ID,78.01,light rain,-6.0989,106.6381,Bale Ocasa hotel
582,Rio Cuarto,AR,75.2,clear sky,-33.1307,-64.3499,Grand Hotel Río Cuarto
586,Sur,OM,75.69,clear sky,22.5667,59.5289,Sur Plaza Hotel
587,Oranjestad,AW,78.8,few clouds,12.524,-70.027,Divi Village Golf & Beach Resort
588,Innisfail,AU,82.17,few clouds,-17.5333,146.0333,Moondarra Motel
592,Bonthe,SL,79.29,scattered clouds,7.5264,-12.505,Bonthe Holiday Village
593,Banjar,ID,82.4,few clouds,-8.19,114.9675,The Hamsa Resort
597,Nanakuli,US,80.6,clear sky,21.3906,-158.1547,Camp Pālehua
601,Padang,ID,75.2,few clouds,-0.9492,100.3543,Mercure Padang
603,Mayumba,GA,79.43,overcast clouds,-3.432,10.6554,LIKWALE LODGE
604,Meulaboh,ID,76.01,clear sky,4.1363,96.1285,Kost Pria
610,Daru,PG,85.14,scattered clouds,-9.0763,143.2092,Daru Lodge
611,Miraflores,MX,75.2,clear sky,19.2167,-98.8083,Hotel Mansión
613,Saint-Joseph,RE,78.8,light rain,-21.3667,55.6167,"""Plantation Bed and Breakfast"
