,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
293,Carauari,BR,-4.8828,-66.8958,72.79,97,100,1.41,overcast clouds
294,Nardaran,AZ,40.5561,50.0056,42.8,87,75,11.5,broken clouds
295,Vao,NC,-22.6667,167.4833,77.36,70,11,13.94,few clouds
296,Egvekinot,RU,66.3167,-179.1667,-25.98,88,18,3.06,few clouds
297,Kaset Sombun,TH,16.2805,101.9542,82.0,44,0,2.53,clear sky
298,Chokurdakh,RU,70.6333,147.9167,-1.59,92,100,9.6,overcast clouds
299,Thinadhoo,MV,0.5333,72.9333,83.01,69,15,7.05,few clouds
300,Krasnoselkup,RU,65.7,82.4667,-33.18,84,0,4.21,clear sky
301,Concordia,AR,-31.393,-58.0209,77.0,62,0,3.0,clear sky
302,Pisco,PE,-13.7,-76.2167,75.2,73,75,14.97,broken clouds
303,Mayo,US,38.8876,-76.5119,55.4,50,1,11.5,clear sky
304,Northam,GB,51.0333,-4.2167,52.0,82,100,15.01,overcast clouds
305,Grindavik,IS,63.8424,-22.4338,26.6,74,75,33.38,broken clouds
306,Adrar,MR,20.5022,-10.0711,62.49,30,0,9.73,clear sky
307,Noumea,NC,-22.2763,166.4572,87.01,51,0,9.22,clear sky
308,Kishi,NG,9.0833,3.85,78.85,76,100,10.11,overcast clouds
309,Saint-Augustin,CA,51.226,-58.6502,29.23,96,100,17.54,overcast clouds
310,Christchurch,NZ,-43.5333,172.6333,62.01,63,90,12.66,overcast clouds
311,Hindupur,IN,13.8289,77.4933,69.1,77,8,4.32,clear sky
312,Freeport,US,40.6576,-73.5832,44.01,81,1,9.22,clear sky
313,Borogontsy,RU,62.6683,131.1683,7.63,91,100,9.31,overcast clouds
314,Acapulco,MX,16.8634,-99.8901,82.4,78,1,9.22,clear sky
315,Vostok,RU,46.4856,135.8833,26.96,95,0,3.65,clear sky
316,Amuntai,ID,-2.4177,115.2494,82.08,73,100,0.83,overcast clouds
317,Mosquera,CO,4.7059,-74.2302,57.2,82,75,9.22,broken clouds
318,Gagra,GE,43.3283,40.2239,44.6,57,90,8.95,overcast clouds
319,Wittmund,DE,53.5667,7.7833,42.8,93,100,20.71,moderate rain
320,Yaan,NG,7.3833,8.5667,80.78,71,100,9.4,overcast clouds
321,Mangan,IN,27.5167,88.5333,58.98,35,24,5.59,few clouds
322,Cedar City,US,37.6775,-113.0619,32.0,80,90,20.71,light snow
323,Comodoro Rivadavia,AR,-45.8667,-67.5,55.4,35,0,31.07,clear sky
